Product Category Level1,Product Category Level 2,Part #,Product Name,Product Description,UPC,Image1,Image 2,Image 3,Country Of Origin,Color,Length,Number,Joint Type,1000 Volt InSulated,Data Sheet(PDF),Manufacturer,MOQ,Stock Status,Stock Status Message,Price,SKU
 Control Cabinet Keys ,,00 11 01,"3 3/4"" TwinKey® Universal Control Cabinet Key","['10 Profiles, 2 crosses, 1 key for all common locking systems', 'Multifunctional key for the actuation of locking systems from the areas of facilities engineering (heating and sanitation, air conditioning, electro technology), gas and water supply and shut-off systems', '8-arm version: 2, 4-way wheel wrenches connected in a space-saving way using magnets', 'Reversible bit: slot 3/64 x 9/32"" (1.0 x 7 mm) and PH2 cross slot', 'Key and reversible bit joined by stable stainless steel wire', 'Quality surface coating', 'Lightweight-optimized zinc die-cast design']",843221019464 ,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001101-00-3.jpg?itok=gJGrV31d,,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001101-00-1.jpg?itok=GzorM4OK,Germany,Silver,"3 3/4""",,,No,https://www.knipex-tools.com/sites/default/files/USCAT19_00%2011_TwinKey.pdf,,,,,,00 11 01
 Control Cabinet Keys ,,00 11 02,"1 3/4"" Control Cabinet Key","['For control cabinets and shut off systems in the supply of gas, water and electricity', 'For technical installations in buildings, e.g. air conditioning and ventilation systems, shut-off valves, main switchboards, etc.', '4 arm version - includes the following keys: (2) Square nut - 15/64"" and 5/16"", (1) Triangular nut - 23/64"" and (1) Dual bit - 1/8"" - 13/64""', 'With bit insert: slot 3/64 x 9/32"" and cross recess PH2', 'With adapter for 1/4"" bits on securing chain', 'Additional adapter for 1/4"" bits in one arm', 'Small compact size of only 1 3/4""', 'Zinc die-casting']",843221004842 ,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001102-00-3.jpg?itok=R4UNBNr4,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001102-00-1.jpg?itok=SEO9vQcn,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001102-00-2.jpg?itok=CmEl-VQR,Germany,Silver,"1 3/4""",,,No,https://www.knipex-tools.com/sites/default/files/USCAT19_00%2011_Control%20Cabinet%20Keys.pdf,,,,,,00 11 02
 Control Cabinet Keys ,,00 11 03,"3"" Control Cabinet Key","['For control cabinets and shut off systems in the supply of gas, water and electricity', 'For technical installations in buildings, e.g. air conditioning and ventilation systems, shut-off valves, main switchboards, etc.', '4 arm version - includes the following keys: (3) Square nut - 13/64"", 15/64"" and 5/16"", (1) Triangular nut - 23/64"" and (1) Dual bit - 1/8"" - 13/64""', 'With bit insert: slot 3/64 x 9/32"" and cross recess PH3', 'With adapter for 1/4"" bits on securing chain', 'Additional adapter for 1/4"" bits in one arm', 'Long execution, total length 3""', 'Zinc die-casting']",843221004859 ,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001103-00-3.jpg?itok=URb6Tr5E,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001103-00-1.jpg?itok=qOtToXyg,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001103-00-2.jpg?itok=NGu4iNg7,Germany,Silver,"3""",,,No,https://www.knipex-tools.com/sites/default/files/USCAT19_00%2011_Control%20Cabinet%20Keys.pdf,,,,,,00 11 03
 Control Cabinet Keys ,,00 11 04,"4"" Profi-Key Control Cabinet Key","['For heating, air conditioning, sanitary and building engineering', 'With bit insert: slot 3/64 x 9/32"" and cross recess PH2', 'With adapter for 1/4"" bits on securing chain', 'Additional bit adapter for 1/4"" bits in one arm', 'Total length 3 1/2""', 'Zinc die-casting']",843221004866 ,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001104-00-3.jpg?itok=XUaYxRlC,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001104-00-1.jpg?itok=DSuWBW7z,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001104-00-2.jpg?itok=9LJ2OiQ5,Germany,Silver,"4""",,,No,https://www.knipex-tools.com/sites/default/files/USCAT19_00%2011_Profi-Key.pdf,,,,,,00 11 04
 Control Cabinet Keys ,,00 11 06,"4"" Universal Control Cabinet Key","['For locking systems in electrical engineering, the supply of gas and water, air conditioning and ventilation systems, industry, technical installations in buildings, etc.', '9 different die-cast zinc key profiles in 1 tool', 'Detachable chain and snap hook', 'Total length 3 1/2""', 'Zinc die-casting']",843221010713 ,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001106-00-3.jpg?itok=9bjy93E0,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001106-00-1.jpg?itok=M3D6D0vV,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001106-00-2.jpg?itok=76mdH1JC,Germany,Silver,"4""",,,No,https://www.knipex-tools.com/sites/default/files/USCAT19_00%2011_Universal%20Key.pdf,,,,,,00 11 06
 Control Cabinet Keys ,,00 11 06 V01,"4"" Universal Key - Construction","['For locking systems in electrical engineering, the supply of gas and water, air conditioning and ventilation systems, industry, technical installations in buildings, etc.', '9 different die-cast zinc key profiles in 1 tool', 'Construction version with plug-in, magnetically held support: catch for locks with profile cylinder hole and male square in steps', 'Bit adapter for 1/4"" bits with magnet', 'Detachable chain and snap hook', 'Total length 6 1/4""', 'Zinc die-casting']",843221022679 ,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001106V01-00-3.jpg?itok=3ywQ-8Mn,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001106V01-00-1.jpg?itok=1IHLPg_y,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001106V01-00-2.jpg?itok=O5Zfu041,Germany,Silver,"4""",,,No,https://www.knipex-tools.com/sites/default/files/USCAT19_00%2011_Universal%20Key%20Construction.pdf,,,,,,00 11 06 V01
 Control Cabinet Keys ,,00 11 06 V03,"5"" Control Cabinet Key DoubleJoint","['For locking systems in electrical engineering, the supply of gas and water, air conditioning and ventilation systems, industry, technical installations in buildings, etc.', 'With bit adapter for 1/4"" bits with magnet', 'Four different zinc die-cast key profiles in a single key', 'Magnets – strong magnets allow tool to unfold', 'Compact Design – folds to 2 1/2"" x 1 3/8""', 'Extends to 180˚', 'Folds to 90˚ to be used as a handle', 'Multifunctional keys for actuation of locking systems', 'To use with control cabinets and shut-off systems for the supply of gas, water, and electricity']",843221023904 ,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001106V03-00-3.jpg?itok=Pl9_YxGS,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001106V03-00-1.jpg?itok=m-IeRpjF,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001106V03-00-2.jpg?itok=B7fXX51Q,Germany,Red/Blue,"5""",,,No,https://www.knipex-tools.com/sites/default/files/ControlCabinetKeyFlyer%20Hi%20Res%20Data%20Sheet.pdf,,,,,,00 11 06 V03
 Control Cabinet Keys ,,00 11 07,"5 3/4"" Universal Control Cabinet Key-Pen Style","['For control cabinets and shut off systems in the supply of gas, water and electricity', 'Easy to carry pen-style control cabinet key with fastening clip. Includes the following keys: (3) Square nut - 13/64"", 15/64"" and 5/16"", (1) Triangular nut - 23/64"" and (1) Dual bit - 1/8""-13/64""', 'Includes P2 bit', 'Tool body made of fiberglass reinforced plastic and key profiles made from zinc die cast', 'Handy tool for actuation of various locking systems', 'Several tools in one - no need to carry additional tools']",843221010720 ,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001107-01-5.jpg?itok=AwkuLLlp,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001107-01-1.jpg?itok=ldWwXqzm,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/001107-01-2.jpg?itok=Xz5hkwyc,Germany,Red/Blue,"5 3/4""",,,No,https://www.knipex-tools.com/sites/default/files/KNIPEX%20Catalog.pdf,,,,,,00 11 07
 Specialty Pliers and Accessories , Accessory ,00 11 V50,"3/4"" LED Magnetic Light","['Strong, bright and compact LED light provides bright light right where you are working', 'For illuminating dark working areas', 'Attached to tool with strong magnets', 'Approximately 24 hours of lighting, with 2 replaceable button cells (CR1220)', 'Snap hook fastening', 'Impact resistant plastic housing']",843221019495 ,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/0011V501.jpg?itok=Vx8IImcx,,,Germany,White,"3/4""",,,No,https://www.knipex-tools.com/sites/default/files/USCAT19_00%2011_Magnetic%20LED%20Lamp.pdf,,,,,,00 11 V50
 Specialty Pliers and Accessories , Accessory ,00 11 V79, Material Catcher for 79 02 125 and 79 22 125,"['Material catcher for Electronics Diagonal Cutters: reliably prevents cut material from falling down', 'This is particular important in specific industries that have to avoid FOD (Foreign Object Damage) e.g. in the aerospace industry']",843221027476 ,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/0011V79-00-3.jpg?itok=AFO8UtvS,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/0011V79-00-1.jpg?itok=J5CfQbaw,https://www.knipex-tools.com/sites/default/files/styles/knipex_product_detail/public/0011V79-00-4.jpg?itok=jL-SOPIL,Germany,Red,,,,No,https://www.knipex-tools.com/sites/default/files/KNIPEX%20Catalog.pdf,,,,,,00 11 V79
